CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,
"8231","CHEM 122L","11","General Chemistry Lab II","1","  AINW","Lab","T","0830-1220","FORBES 3002","Das, S","0","Closed",
"8232","CHEM 122L","12","General Chemistry Lab II","1","  AINW","Lab","R","0830-1220","FORBES 3002","Schelz, J","10","Open",
"7722","CHEM 122L","2","General Chemistry Lab II","1","  AINW","Lab","M","1800-2150","FORBES 3002","Wygant, J","0","Closed",
"7723","CHEM 122L","3","General Chemistry Lab II","1","  AINW","Lab","T","1330-1720","FORBES 3002","Eveler, A","0","Closed",
"7724","CHEM 122L","4","General Chemistry Lab II","1","  AINW","Lab","T","1330-1720","FORBES 3009","Abdel-Fattah, T","0","Closed",
"7725","CHEM 122L","5","General Chemistry Lab II","1","  AINW","Lab","T","1800-2150","FORBES 3002","Wanigatunga, S","0","Closed",
"7726","CHEM 122L","6","General Chemistry Lab II","1","  AINW","Lab","W","1300-1650","FORBES 3002","Abdel-Fattah, T","3","Open",
"7727","CHEM 122L","7","General Chemistry Lab II","1","  AINW","Lab","W","1800-2150","FORBES 3002","Wanigatunga, S","0","Closed",
"7728","CHEM 122L","8","General Chemistry Lab II","1","  AINW","Lab","R","1330-1720","FORBES 3002","Shima, S","0","Closed",
"7729","CHEM 122L","9","General Chemistry Lab II","1","  AINW","Lab","R","1330-1720","FORBES 3009","Schelz, J","0","Closed",
"7731","CHEM 321","1","Organic Chemistry I","3","","Lec","TR","0930-1045","FORBES 2074","Carney, J","16","Open",
"7732","CHEM 322","1","Organic Chemistry II","3","","Lec","MWF","0800-0850","FORBES 1022","Carney, J","0","Closed",
"7733","CHEM 322","2","Organic Chemistry II","3","","Lec","MWF","1200-1250","LUTR 121","Staff","0","Closed",
"7734","CHEM 322","3","Organic Chemistry II","3","","Lec","MWF","1200-1250","MCM 101","Staff","0","Closed",
"7735","CHEM 322L","1","Organic Chemistry Lab II","1","","Lab","M","1300-1650","FORBES 3052","Liskin, D","0","Closed",
"7744","CHEM 322L","10","Organic Chemistry Lab II","1","","Lab","R","1800-2150","FORBES 3052","Morin, M","0","Closed",
"7736","CHEM 322L","2","Organic Chemistry Lab II","1","","Lab","M","1800-2150","FORBES 3052","Liskin, D","0","Closed",
"7737","CHEM 322L","3","Organic Chemistry Lab II","1","","Lab","T","0830-1220","FORBES 3052","Brunke, K","0","Closed",
"7738","CHEM 322L","4","Organic Chemistry Lab II","1","","Lab","T","1330-1720","FORBES 3052","Das, S","0","Closed",
"7739","CHEM 322L","5","Organic Chemistry Lab II","1","","Lab","T","1800-2150","FORBES 3052","Das, S","0","Closed",
"7740","CHEM 322L","6","Organic Chemistry Lab II","1","","Lab","W","1300-1650","FORBES 3052","Liskin, D","0","Closed",
"7742","CHEM 322L","8","Organic Chemistry Lab II","1","","Lab","R","0830-1220","FORBES 3052","Brunke, K","1","Open",
"7743","CHEM 322L","9","Organic Chemistry Lab II","1","","Lab","R","1330-1720","FORBES 3052","Liskin, D","0","Closed",
"7745","CHEM 342","1","Physical Chemistry II","3","","Lec","MWF","0900-0950","FORBES 3012","Patterson, J","6","Open",
"7746","CHEM 342L","1","Physical Chemistry Lab II","1","","Lab","T","1330-1720","FORBES 3048","Patterson, J","5","Open",
"7747","CHEM 361","1","Analytical Chemistry","3","","Lec","MWF","1100-1150","FORBES 2074","Klein, G","3","Open",
